loan_id,loan_product_id,borrower_id,loan_application_id,loan_disbursed_by_id,loan_principal_amount,loan_released_date,loan_interest_method,loan_interest_type,loan_interest_period,loan_interest,loan_duration_period,loan_duration,loan_payment_scheme_id,loan_num_of_repayments,loan_decimal_places,loan_interest_start_date,loan_fees_pro_rata,loan_do_not_adjust_remaining_pro_rata,loan_first_repayment_pro_rata,loan_first_repayment_date,first_repayment_amount,last_repayment_amount,loan_override_maturity_date,override_each_repayment_amount,loan_interest_each_repayment_pro_rata,loan_interest_schedule,loan_principal_schedule,loan_balloon_repayment_amount,automatic_payments,payment_posting_period,total_amount_due,balance_amount,due_date,total_paid,child_status_id,loan_fee_schedule_3951,loan_fee_id_3951,loan_fee_schedule_4734,loan_fee_id_4734,loan_fee_schedule_4727,loan_fee_id_4727,loan_fee_schedule_4726,loan_fee_id_4726,loan_fee_schedule_4725,loan_fee_id_4725,loan_fee_schedule_4724,loan_fee_id_4724,loan_fee_schedule_4611,loan_fee_id_4611,loan_fee_schedule_4197,loan_fee_id_4197,loan_fee_schedule_4196,loan_fee_id_4196,loan_fee_schedule_4195,loan_fee_id_4195,loan_fee_schedule_4194,loan_fee_id_4194,loan_fee_schedule_4735,loan_fee_id_4735,loan_override_sys_gen_penalty,loan_manual_penalty_amount,loan_status_id,loan_title,loan_description,borrower_country,borrower_fullname,borrower_firstname,borrower_lastname,borrower_business_name,borrower_unique_number,borrower_gender,borrower_title,borrower_mobile,borrower_email,borrower_dob,borrower_address,borrower_city,borrower_province,borrower_zipcode,borrower_landline,borrower_working_status,borrower_credit_score,borrower_description,borrower_access_ids,borrower_photo,custom_field_5819,custom_field_5820,custom_field_5821,custom_field_5822,custom_field_5823,custom_field_5824
1300323,67121,1165388,PPT-00004,49933,10000.00,01/01/2020,reducing_rate_equal_installments,percentage,Month,6.0000,Months,3,3,3,round_off_to_two_decimal,,0.0,0.0,0.0,,0.00,0.00,,0.00,,charge_interest_normally,,,0.0,0.0,,0.00,31/03/2020,15075.00,0,distribute_fees_evenly,535.00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0.00,2,,,BW,,CHIMILO,MOSHOESHOE II,,1000004,Male,1,,,07/05/1985,,,,,,,,,[],,,,,,,
1300326,65231,1165391,PPT-00006,49933,10000.00,01/01/2020,flat_rate,percentage,Month,30.0000,Days,30,1101,1,round_off_to_two_decimal,,,,,,,,,,,,,,,,,0.00,31/01/2020,23871.25,0,charge_fees_on_released_date,535.00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0.00,2,,,BW,,SELLO AUPA,SEKOLO,,1000005,Male,1,,,13/02/1957,,,,,,,,,[],,,,,,,
1300327,67121,1165393,PPT-00007,49933,10000.00,01/02/2020,reducing_rate_equal_installments,percentage,Month,6.0000,Months,3,3,3,round_off_to_two_decimal,,0.0,0.0,0.0,,0.00,0.00,,0.00,,charge_interest_normally,,,0.0,0.0,,0.00,01/05/2020,12549.38,0,distribute_fees_evenly,535.00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0.00,2,,,BW,,GAONE M,MASALILA,,1000006,Male,1,,,08/04/1975,,,,,,,,,[],,,,,,,
1300329,67404,1165394,PPT-00008,49933,10000.00,01/04/2020,flat_rate,percentage,Month,6.0000,Days,30,10,1,round_off_to_two_decimal,,,,,,,,,,,,,,,,,4927.62,01/05/2020,8000.00,0,charge_fees_on_released_date,535.00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0.00,4,,,BW,,KEBATSHABILE,MOREBUDI,,1000007,Female,3,,,20/04/1983,,,,,,,,,[],,,,,,,
1300330,65231,1165397,PPT-00009,49933,10000.00,01/04/2020,flat_rate,percentage,Month,30.0000,Days,30,10,1,round_off_to_two_decimal,,,,,,,,,,,,,,,,,7822.45,01/05/2020,8000.00,0,charge_fees_on_released_date,535.00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0.00,4,,,BW,,MMOLOKI,MOFFAT,,1000008,Female,2,,,03/02/1967,,,,,,,,,[],,,,,,,
1300367,67410,1165397,PPT-00016,49933,7822.45,19/05/2020,flat_rate,percentage,Month,6.0000,Days,30,10,1,round_off_to_two_decimal,,,,,,,,,,,,,,,,,11803.47,18/06/2020,1000.00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0.00,4,,,BW,,MMOLOKI,MOFFAT,,1000008,Female,2,,,03/02/1967,,,,,,,,,[],,,,,,,
1300504,67410,1165394,PPT-00017,49933,4986.37,19/05/2020,flat_rate,percentage,Month,6.0000,Days,30,10,1,round_off_to_two_decimal,,,,,,,,,,,,,,,,,-120.97,18/06/2020,6700.00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0.00,2,,,BW,,KEBATSHABILE,MOREBUDI,,1000007,Female,3,,,20/04/1983,,,,,,,,,[],,,,,,,
1303459,67410,1168286,PPT-00020,49933,20000.00,06/04/2020,flat_rate,percentage,Month,6.0000,Days,30,10,1,round_off_to_two_decimal,,,,,,,,,,,,,,,,,16214.89,06/05/2020,19000.00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0.00,4,,,BW,,Restructure,Test,,1000012,Male,1,76642944,paul@deselle.co.za,,,,,,,,,,{'1': '20560'},,hg3875h,Employer,08184535,faihf,085371895,538956
1303484,67404,1168310,PPT-00021,49933,10000.00,01/03/2020,flat_rate,percentage,Month,6.0000,Days,30,10,1,round_off_to_two_decimal,,,,,,,,,,,,,,,,,8324.58,19/08/2020,24000.00,0,charge_fees_on_released_date,535.00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0.00,4,,,BW,,Test penalty,Lender,,1000013,,0,,,,,,,,,,,,[],,,,,,,
1372210,65231,1216911,TEST-00001,49933,1000.00,01/06/2020,flat_rate,percentage,Month,30.0000,Days,30,1101,1,round_off_to_two_decimal,,0.0,0.0,0.0,,0.00,0.00,,0.00,,charge_interest_normally,,,0.0,0.0,,631.78,25/07/2020,1700.00,0,charge_fees_on_first_repayment,560.00,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0.00,4,,,BW,,John,Smith,,1000015,Male,1,0827004334,,,,,,,,,,,{'1': '20560'},,B938BHN,WATER UTILITIES CORPORATION,071123456,FELIPE SMITH,065533191,90855721
